/nethome/mct30/bmds/SAM_out/BTIRed_Gut_Myzus-only.map		
Percentage	Number of reads	Filename
0.0011%	99	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0008%	74	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0105%	951	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0002%	15	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0008%	70	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0007%	67	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0018%	159	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0023%	204	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0035%	316	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0007%	59	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0074%	672	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0033%	300	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0029%	262	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.002%	181	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.1244%	11273	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0023%	210	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0006%	55	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0002%	19	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0004%	32	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0011%	103	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0007%	66	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0046%	420	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0026%	234	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0003%	24	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
0.0107%	974	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_Myzus-only.map.tsv
